arc_length,p,U:0,U:1,velMag
14.589,-1.5527,-0.10795,-1.6253,1.62888099396488
14.658,-1.6427,-0.11022,-1.6595,1.66315624593722
14.726,-1.7327,-0.11249,-1.6937,1.69743149791089
14.795,nan,nan,nan,#VALUE!
14.863,nan,nan,nan,#VALUE!
14.932,nan,nan,nan,#VALUE!
15,nan,nan,nan,#VALUE!
15.069,nan,nan,nan,#VALUE!
15.137,nan,nan,nan,#VALUE!
15.206,nan,nan,nan,#VALUE!
15.274,-3.7119,-0.33401,-2.3129,2.33689304207531
15.343,-3.9569,-0.33982,-2.3532,2.37760969723796
15.411,-4.202,-0.34563,-2.3934,2.41822737907336
15.48,-4.447,-0.35145,-2.4337,2.45894546350666
15.548,nan,nan,nan,#VALUE!
15.617,nan,nan,nan,#VALUE!
15.685,nan,nan,nan,#VALUE!
15.753,-5.1363,-0.67111,-1.7908,1.91242078845112
15.822,-5.0002,-0.6095,-1.6264,1.73685555242801
15.89,-4.8641,-0.5479,-1.462,1.5612938256459
15.959,-4.7279,-0.48629,-1.2976,1.38572858962352
16.027,-4.5918,-0.42469,-1.1332,1.21016686291602
16.096,-4.4557,-0.36308,-0.96884,1.03463908296565
16.164,-4.3195,-0.30148,-0.80446,0.859096084265317
16.233,-4.1834,-0.23988,-0.64008,0.683553085575656
16.301,-4.0473,-0.17827,-0.47569,0.507997213575035
16.37,nan,nan,nan,#VALUE!
16.438,-3.6418,-0.05165,-0.10967,0.121223889559773
16.507,-3.3707,0.0016618,0.0035284,0.003900152022678
16.575,-3.0997,0.054975,0.11673,0.129027685110599
16.644,-2.8286,0.10829,0.22994,0.25416358452776
16.712,-2.5575,0.1616,0.34314,0.379288306700853
16.781,-2.2865,0.21492,0.45635,0.50442633644567
16.849,-2.0154,0.26823,0.56955,0.629551058612405
16.918,-0.89378,0.39328,0.85985,0.945521644860656
16.986,-0.84848,0.42756,0.92605,1.01998831174676
17.055,-0.80319,0.46183,0.99224,1.09445290739255
17.123,-0.75789,0.4961,1.0584,1.16889938403611
17.192,-0.71259,0.53038,1.1246,1.24339378492897
17.26,-0.66729,0.56465,1.1908,1.31789007982457
17.329,-0.62199,0.59892,1.257,1.39239152769614
17.397,-0.5767,0.63319,1.3232,1.46689734340887
17.466,-0.5314,0.66747,1.3894,1.54141122381407
17.534,-0.4861,0.70174,1.4556,1.61592400427743
17.603,-0.4408,0.73601,1.5218,1.69043957599791
17.671,-0.3955,0.77029,1.588,1.76496194975982
17.74,-0.3502,0.80456,1.6541,1.83939218319531
17.808,-0.30491,0.83883,1.7203,1.91391427678985
17.877,-0.23098,0.8976,1.8344,2.04223140706434
17.945,-0.21101,0.92466,1.8927,2.1064922040207
18.014,-0.19104,0.95172,1.9509,2.17066390037703
18.082,-0.17106,0.97878,2.0092,2.23492615725889
18.151,-0.15016,0.99519,2.0484,2.27735497806117
18.219,-0.12813,0.99849,2.0642,2.29301197556838
18.288,-0.10609,1.0018,2.08,2.30867997782282
18.356,-0.08405,1.0051,2.0958,2.32435015649536
18.425,-0.062011,1.0084,2.1116,2.34002673489001
18.493,-0.039973,1.0117,2.1274,2.35570958524178
18.562,-0.017935,1.015,2.1432,2.37139858311504
18.63,0.026094,1.0494,2.2377,2.4715464086276
18.699,0.03823,1.0387,2.218,2.44916755041381
18.767,0.050367,1.028,2.1984,2.42688000527426
18.836,0.062503,1.0173,2.1787,2.40450264711853
18.904,0.074639,1.0066,2.1591,2.38221669249462
18.973,0.086776,0.99591,2.1394,2.35984514070309
19.041,0.098912,0.98521,2.1198,2.33756086211675
19.11,0.11161,0.97571,2.1035,2.31877602499681
19.178,0.12803,0.97414,2.11,2.32401564960307
19.247,0.14445,0.97257,2.1165,2.3292626848211
19.315,0.16087,0.97101,2.123,2.33452124001903
19.384,0.17729,0.96944,2.1295,2.33978293087201
19.452,0.19371,0.96787,2.136,2.34505188362646
19.521,0.21013,0.9663,2.1425,2.35032804944331
19.589,0.22655,0.96473,2.149,2.3556113798545
19.658,0.24297,0.96316,2.1555,2.36090182676027
19.726,0.25939,0.9616,2.162,2.36620340630302
19.795,0.27581,0.96003,2.1685,2.37150792764857
19.863,0.28471,0.97059,2.1967,2.4015694531077
19.932,0.29108,0.98523,2.2322,2.43995798998671
20,0.29745,0.99987,2.2676,2.47825538976515
20.069,0.30382,1.0145,2.3031,2.51664059015188
20.137,0.31019,1.0291,2.3386,2.55501404497118
20.206,0.31656,1.0438,2.3741,2.59342808845744
20.274,0.32293,1.0584,2.4096,2.63180218101589
20.343,0.3293,1.0731,2.445,2.67012520492954
20.411,0.33567,1.0877,2.4805,2.70849986893114
20.48,0.34205,1.1023,2.516,2.74687482241183
20.548,0.34842,1.117,2.5515,2.78529015544162
20.617,0.35343,1.1256,2.5763,2.81145817148326
20.685,0.35498,1.1222,2.5776,2.81129055773323
20.754,0.35654,1.1167,2.5745,2.80625535901493
20.822,0.3581,1.1113,2.5714,2.80126500888438
20.891,0.35966,1.1058,2.5683,2.79624007016565
20.959,0.36121,1.1003,2.5652,2.79122036571819
21.027,0.36277,1.0949,2.5621,2.78624521892815
21.096,0.36433,1.0894,2.559,2.78123594108806
21.164,0.36589,1.084,2.5559,2.77627102603474
21.233,0.36745,1.0785,2.5528,2.77127228723559
21.301,0.36901,1.073,2.5497,2.76627892483748
21.37,0.37057,1.0676,2.5466,2.76132962900122
21.438,0.37213,1.0621,2.5435,2.75634697743227
21.507,0.3747,1.0578,2.5403,2.75173852863967
21.575,0.3785,1.0548,2.5371,2.747631607403
21.644,0.38229,1.0519,2.5338,2.74347153256599
21.712,0.38609,1.0489,2.5306,2.73936627160371
21.781,0.38988,1.0459,2.5274,2.73526188325725
21.849,0.39367,1.043,2.5241,2.73110413752387
21.918,0.39747,1.04,2.5209,2.72700143197616
21.986,0.40126,1.037,2.5177,2.72289961070914
22.055,0.40506,1.0341,2.5145,2.71883671080115
22.123,0.40885,1.0311,2.5112,2.71464411111291
22.192,0.41265,1.0282,2.508,2.71058282293679
22.26,0.41182,1.024,2.505,2.70621525381851
22.329,0.41423,1.0207,2.5019,2.70209772214108
22.397,0.41663,1.0174,2.4987,2.69788888763047
22.466,0.41904,1.0141,2.4956,2.69377396416255
22.534,0.42145,1.0108,2.4924,2.68956769760495
22.603,0.42385,1.0075,2.4893,2.68545540644413
22.671,0.42626,1.0041,2.4861,2.68121428088096
22.74,0.42867,1.0008,2.483,2.67710471218442
22.808,0.43107,0.99752,2.4798,2.67291118266208
22.877,0.4319,0.99615,2.4803,2.67286417771274
22.945,0.43243,0.99515,2.4814,2.67351257384363
23.014,0.43297,0.99415,2.4825,2.67416163918713
23.082,0.4335,0.99315,2.4836,2.67481137325607
23.151,0.43403,0.99215,2.4847,2.67546177556324
23.219,0.43456,0.99115,2.4859,2.67620573433733
23.288,0.43509,0.99015,2.487,2.67685749013652
23.356,0.43562,0.98915,2.4881,2.67750991268006
23.425,0.43616,0.98814,2.4892,2.67815931184088
23.493,0.43645,0.98633,2.4898,2.67804983316218
23.562,0.43668,0.98429,2.4904,2.67785715901726
23.63,0.43691,0.98225,2.4909,2.67757313112079
23.699,0.43714,0.98022,2.4914,2.67729438209548
23.767,0.43736,0.97818,2.4919,2.67701358278213
23.836,0.43759,0.97614,2.4924,2.67673440214004
23.904,0.43782,0.9741,2.4929,2.67645684067575
23.973,0.43805,0.97206,2.4935,2.67627406922385
24.041,0.43828,0.97003,2.494,2.67600340076391
24.11,0.43851,0.96799,2.4945,2.67573072077517
24.178,0.43873,0.96595,2.495,2.67545966190859
24.247,0.43896,0.96391,2.4955,2.67519022465693
